epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.29781,1.00923,3.29578,1.05099,0.00991,1,0.01058,0.00729,0.86919,3.37528,0.95309,0.0946,0.0006,0.0006
2,8.30413,0.94725,3.22183,1.01588,0.0083,0.83333,0.03711,0.03177,0.91429,3.30205,0.94955,0.0882571,0.0012571,0.0012571
3,10.3425,0.86836,2.75466,0.96562,0.00977,1,0.2561,0.21503,0.95444,3.23768,0.9359,0.081868,0.001868,0.001868
4,12.3296,0.81177,2.06176,0.94944,0.00985,1,0.56413,0.34305,0.98787,2.97377,0.97044,0.0754327,0.0024327,0.0024327
5,14.5969,0.87159,1.53588,0.97531,0.00986,1,0.995,0.76224,0.87257,2.63811,0.97886,0.0689512,0.0029512,0.0029512
6,16.898,0.83134,1.3013,1.00297,0.00987,1,0.995,0.73158,1.01632,2.68533,0.97228,0.0624235,0.0034235,0.0034235
7,19.2221,0.85876,1.10358,0.97745,0.00977,1,0.995,0.76121,0.96338,2.71896,0.96931,0.0558496,0.0038496,0.0038496
8,21.5464,0.85663,1.05518,0.94415,0.00983,1,0.995,0.71765,1.04767,2.58045,0.97025,0.0492295,0.0042295,0.0042295
9,23.9215,0.81625,1.0013,0.94754,0.00987,1,0.995,0.7856,0.84698,2.2506,0.94392,0.0425632,0.0045632,0.0045632
10,26.3054,0.81915,1.0012,0.9574,0.01035,1,0.995,0.73978,0.97935,2.24552,0.97576,0.0358507,0.0048507,0.0048507
11,28.6902,0.84911,0.90883,0.94953,0.94556,1,0.995,0.76525,0.9652,2.04,0.97772,0.029092,0.005092,0.005092
12,31.0956,0.78893,0.87751,0.94902,0.83318,1,0.995,0.62682,0.95634,2.12867,1.02043,0.0222871,0.0052871,0.0052871
13,33.4769,0.84514,0.97691,0.97034,0.9494,0.86702,0.995,0.79609,0.82838,2.12599,0.95588,0.015436,0.005436,0.005436
14,35.8819,0.80089,0.84522,0.95368,0.94535,0.78842,0.995,0.7353,1.008,1.3782,0.99487,0.0085387,0.0055387,0.0055387
15,38.2798,0.8065,0.83362,0.94193,0.93659,1,0.995,0.78674,0.87161,1.37997,0.97784,0.00538,0.00538,0.00538
16,40.6873,0.80275,0.81591,0.92939,0.88436,1,0.995,0.78874,0.85695,1.13417,0.97721,0.00505,0.00505,0.00505
17,43.0711,0.75311,0.82348,0.93227,0.89906,1,0.995,0.80284,0.76882,0.93984,0.95084,0.00472,0.00472,0.00472
18,45.4793,0.71354,0.8016,0.92754,0.94208,1,0.995,0.7944,0.89062,1.05199,0.98565,0.00439,0.00439,0.00439
19,47.8632,0.76628,0.80084,0.94203,0.98326,1,0.995,0.78046,0.79406,1.00287,0.96601,0.00406,0.00406,0.00406
20,50.2771,0.70873,0.84078,0.94071,0.95948,0.99514,0.995,0.82647,0.76921,0.82762,0.95417,0.00373,0.00373,0.00373
21,89.0412,0.70574,0.81448,0.91849,0.97268,1,0.995,0.79376,0.81423,1.00228,0.97364,0.0034,0.0034,0.0034
22,91.4701,0.671,0.77454,0.9104,0.94057,0.9918,0.995,0.81966,0.71157,0.74794,0.95596,0.00307,0.00307,0.00307
23,93.924,0.69256,0.76306,0.87193,0.97135,0.9929,0.995,0.81525,0.7753,0.71854,0.9873,0.00274,0.00274,0.00274
24,96.4735,0.6884,0.75451,0.90078,0.96208,0.99488,0.995,0.80055,0.85267,0.69594,0.97718,0.00241,0.00241,0.00241
25,98.9357,0.66982,0.72358,0.87369,0.96451,0.99807,0.995,0.82978,0.81338,0.68296,0.97368,0.00208,0.00208,0.00208
26,101.631,0.67562,0.72769,0.89115,0.96394,1,0.995,0.82808,0.80769,0.64266,0.96579,0.00175,0.00175,0.00175
27,104.15,0.64457,0.72399,0.87892,0.96021,1,0.995,0.82648,0.68678,0.60986,0.93436,0.00142,0.00142,0.00142
28,106.925,0.64708,0.68904,0.87448,0.95651,0.99794,0.995,0.82648,0.71937,0.58833,0.946,0.00109,0.00109,0.00109
29,109.917,0.63227,0.70034,0.87353,0.95663,0.99737,0.995,0.83613,0.71881,0.60268,0.94143,0.00076,0.00076,0.00076
30,112.387,0.6157,0.68696,0.86605,0.9625,1,0.995,0.83654,0.73525,0.59618,0.94667,0.00043,0.00043,0.00043
