epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.344,1.15219,2.79814,1.28534,0.00253,0.5,0.03665,0.02932,0.83501,3.30717,0.98513,0.0802,0.0022,0.0022
2,108.158,1.18865,1.31535,1.26008,0.00826,0.83333,0.81392,0.64598,0.98014,3.09457,0.96629,0.0592773,0.00427725,0.00427725
3,153.103,1.17987,1.0166,1.21683,0.48465,1,0.995,0.76898,0.93668,2.57079,1.02222,0.0381268,0.0061268,0.0061268
4,195.08,1.16873,0.94935,1.21022,1,0.47879,0.83141,0.68356,0.88902,2.19437,1.04407,0.0167486,0.00774865,0.00774865
5,238.43,1.16428,0.94254,1.20289,0.89495,1,0.995,0.71718,0.97924,1.29283,1.09131,0.00802,0.00802,0.00802
6,282.176,1.18123,0.89474,1.20464,0.92422,0.98625,0.995,0.7799,0.9527,0.96641,0.98298,0.007525,0.007525,0.007525
7,331.862,1.15786,0.87091,1.18642,0.89087,1,0.995,0.70122,1.04475,0.83694,1.00847,0.00703,0.00703,0.00703
8,381.416,1.13147,0.84874,1.18192,0.89482,0.98432,0.995,0.77883,1.00597,0.87435,1.00544,0.006535,0.006535,0.006535
9,433.649,1.13614,0.81103,1.18697,0.93788,0.744,0.79856,0.59119,1.20722,1.33927,1.05084,0.00604,0.00604,0.00604
10,487.122,1.11694,0.8017,1.17267,0.89319,0.99143,0.97143,0.75626,0.96665,0.7868,1.01987,0.005545,0.005545,0.005545
11,563.799,1.08378,0.79602,1.14813,0.95672,1,0.995,0.81691,0.88205,0.72637,0.98661,0.00505,0.00505,0.00505
12,598.902,1.08174,0.7396,1.14557,0.96989,1,0.995,0.79993,0.86639,0.7142,0.95818,0.004555,0.004555,0.004555
13,636.158,1.06355,0.74342,1.13636,0.97993,1,0.995,0.80308,0.93042,0.62007,0.9939,0.00406,0.00406,0.00406
14,672.902,1.04238,0.68311,1.1324,0.98068,1,0.995,0.79894,0.76153,0.52522,0.92739,0.003565,0.003565,0.003565
15,710.968,1.02935,0.66669,1.12926,0.97512,1,0.995,0.81314,0.87258,0.51347,0.95063,0.00307,0.00307,0.00307
16,748.58,1.03287,0.65866,1.10885,0.9769,1,0.995,0.80921,0.88227,0.56161,0.96698,0.002575,0.002575,0.002575
17,793.536,1.01247,0.63338,1.10179,0.94555,0.99435,0.995,0.84081,0.7463,0.52906,0.92579,0.00208,0.00208,0.00208
18,830.609,0.99414,0.61455,1.09482,0.98276,1,0.995,0.78863,0.87529,0.48243,0.97154,0.001585,0.001585,0.001585
19,876.865,0.96326,0.58802,1.08365,0.96807,1,0.995,0.84425,0.73613,0.46279,0.94646,0.00109,0.00109,0.00109
20,914.295,0.96415,0.57066,1.08798,0.98659,1,0.995,0.8342,0.7899,0.44204,0.94003,0.000595,0.000595,0.000595
