epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6764,0.93902,1.51315,1.20726,0.90942,0.85246,0.94027,0.84618,0.42945,0.74937,0.87846,0.0701807,0.00331325,0.00331325
2,116.858,0.98412,0.88851,1.18173,0.87692,0.86763,0.93571,0.8274,0.45519,0.61741,0.89811,0.0401588,0.00662465,0.00662465
3,174.887,1.02103,0.88205,1.21362,0.91719,0.84778,0.93161,0.8177,0.5072,0.60192,0.90294,0.0101149,0.00991405,0.00991405
4,233.293,1.04225,0.87703,1.2252,0.82574,0.87119,0.91732,0.78411,0.55694,0.66084,0.93199,0.009901,0.009901,0.009901
5,293.487,1.04972,0.87407,1.23875,0.87537,0.87119,0.94528,0.84651,0.49536,0.59074,0.89822,0.009868,0.009868,0.009868
6,352.063,1.00014,0.81124,1.21549,0.85249,0.87972,0.91933,0.77492,0.58769,0.59432,0.95225,0.009835,0.009835,0.009835
7,409.779,0.99557,0.78348,1.20939,0.90244,0.87119,0.94736,0.83065,0.52556,0.51986,0.93574,0.009802,0.009802,0.009802
8,467.897,0.9755,0.751,1.20398,0.91833,0.85012,0.95526,0.86006,0.43738,0.47149,0.89173,0.009769,0.009769,0.009769
9,525.997,0.957,0.7461,1.18871,0.87073,0.86885,0.93707,0.83293,0.54128,0.5351,0.95453,0.009736,0.009736,0.009736
10,584.174,0.96488,0.722,1.1853,0.91512,0.92037,0.96939,0.88737,0.45103,0.4351,0.89091,0.009703,0.009703,0.009703
11,642.284,0.95104,0.72076,1.18025,0.89306,0.93874,0.96869,0.89268,0.41369,0.39648,0.86825,0.00967,0.00967,0.00967
12,700.13,0.94348,0.70113,1.18322,0.92704,0.91803,0.97538,0.9026,0.40822,0.40882,0.85835,0.009637,0.009637,0.009637
13,758.248,0.92489,0.68887,1.16627,0.93853,0.93677,0.97742,0.89704,0.39801,0.38223,0.8517,0.009604,0.009604,0.009604
14,816.36,0.91911,0.6729,1.15953,0.8286,0.94145,0.95816,0.89799,0.36002,0.41455,0.84573,0.009571,0.009571,0.009571
15,874.316,0.87306,0.70688,1.14442,0.94901,0.87172,0.96492,0.87421,0.44938,0.44587,0.89819,0.009538,0.009538,0.009538
16,932.392,0.88451,0.67292,1.16775,0.93634,0.89564,0.9641,0.89095,0.37576,0.38999,0.83988,0.009505,0.009505,0.009505
17,990.513,0.88507,0.63869,1.14828,0.92371,0.94614,0.97253,0.90231,0.36252,0.36502,0.8476,0.009472,0.009472,0.009472
18,1048.62,0.8966,0.641,1.15137,0.89398,0.90632,0.96626,0.89497,0.37669,0.38127,0.85126,0.009439,0.009439,0.009439
19,1106.57,0.84655,0.62211,1.13527,0.94702,0.87822,0.97227,0.89604,0.38731,0.38897,0.85306,0.009406,0.009406,0.009406
20,1164.46,0.86599,0.6187,1.14153,0.94591,0.92272,0.9782,0.91357,0.34452,0.33119,0.83615,0.009373,0.009373,0.009373
21,1222.81,0.84163,0.69209,1.12397,0.92719,0.91101,0.97219,0.89362,0.40327,0.40891,0.87877,0.00934,0.00934,0.00934
22,1280.92,0.86276,0.61696,1.13689,0.93375,0.91569,0.97559,0.90883,0.36284,0.37084,0.83835,0.009307,0.009307,0.009307
23,1339.02,0.85088,0.60413,1.12671,0.94525,0.92995,0.97149,0.8998,0.41369,0.35659,0.86298,0.009274,0.009274,0.009274
24,1396.86,0.84254,0.59757,1.12604,0.93214,0.96502,0.98136,0.93322,0.33021,0.32228,0.8379,0.009241,0.009241,0.009241
25,1455.07,0.82943,0.5844,1.12818,0.94888,0.95644,0.98468,0.92975,0.3262,0.30567,0.83629,0.009208,0.009208,0.009208
26,1513.12,0.8159,0.58222,1.1091,0.9267,0.95785,0.98273,0.93034,0.32824,0.3241,0.82278,0.009175,0.009175,0.009175
27,1571.96,0.82664,0.58708,1.11671,0.94069,0.96253,0.98312,0.93849,0.31703,0.31647,0.82564,0.009142,0.009142,0.009142
28,1630.58,0.80922,0.57995,1.10986,0.95394,0.94379,0.98157,0.92465,0.34159,0.31054,0.82536,0.009109,0.009109,0.009109
29,1689.07,0.81665,0.57141,1.11182,0.94688,0.91842,0.97872,0.93777,0.3152,0.32831,0.82742,0.009076,0.009076,0.009076
30,1747.22,0.81998,0.65264,1.11206,0.95045,0.94327,0.98245,0.94285,0.3033,0.3001,0.818,0.009043,0.009043,0.009043
31,1805.29,0.81498,0.56918,1.10987,0.95189,0.92672,0.97886,0.92262,0.34344,0.31858,0.82894,0.00901,0.00901,0.00901
32,1863.39,0.80869,0.57014,1.10872,0.94358,0.97917,0.98777,0.94711,0.31674,0.28334,0.82529,0.008977,0.008977,0.008977
33,1921.58,0.812,0.55634,1.09879,0.95175,0.97012,0.98628,0.94611,0.29876,0.2719,0.809,0.008944,0.008944,0.008944
34,1979.66,0.79442,0.55425,1.10012,0.91376,0.96773,0.98193,0.94142,0.3079,0.29636,0.8136,0.008911,0.008911,0.008911
35,2037.94,0.80408,0.54291,1.10733,0.96011,0.94379,0.98186,0.93546,0.31196,0.32012,0.82437,0.008878,0.008878,0.008878
36,2095.76,0.77391,0.54329,1.09204,0.94318,0.97185,0.98674,0.94124,0.30948,0.2671,0.8134,0.008845,0.008845,0.008845
37,2153.86,0.78196,0.53359,1.08655,0.94335,0.97497,0.98544,0.9484,0.30299,0.27529,0.81465,0.008812,0.008812,0.008812
38,2212.19,0.79522,0.53991,1.09477,0.94636,0.9555,0.9828,0.94351,0.30127,0.29411,0.8113,0.008779,0.008779,0.008779
39,2270.46,0.78423,0.53518,1.08645,0.96146,0.95316,0.98625,0.94604,0.29996,0.28419,0.80712,0.008746,0.008746,0.008746
40,2328.5,0.76676,0.53595,1.08929,0.94684,0.95939,0.98556,0.93795,0.30702,0.27454,0.8188,0.008713,0.008713,0.008713
41,2386.43,0.75109,0.52154,1.07294,0.96235,0.95767,0.98578,0.95303,0.27337,0.27551,0.80697,0.00868,0.00868,0.00868
42,2444.64,0.78263,0.5337,1.08875,0.93751,0.94145,0.98387,0.95019,0.28624,0.30117,0.8101,0.008647,0.008647,0.008647
43,2502.85,0.76611,0.50875,1.08336,0.96583,0.93911,0.98725,0.95084,0.29535,0.25939,0.80812,0.008614,0.008614,0.008614
44,2561.12,0.77328,0.52629,1.08385,0.94621,0.97424,0.98685,0.9514,0.28027,0.25338,0.80689,0.008581,0.008581,0.008581
45,2619.15,0.75873,0.50447,1.08092,0.96249,0.96146,0.98512,0.93713,0.32085,0.28393,0.83671,0.008548,0.008548,0.008548
46,2677.33,0.76522,0.51406,1.0793,0.9648,0.9629,0.98925,0.95954,0.26709,0.24135,0.79829,0.008515,0.008515,0.008515
47,2735.62,0.77002,0.50611,1.07541,0.95591,0.96473,0.98803,0.95496,0.27727,0.25424,0.80339,0.008482,0.008482,0.008482
48,2794.03,0.75719,0.61028,1.07376,0.94561,0.96721,0.98527,0.94886,0.29979,0.27258,0.81613,0.008449,0.008449,0.008449
49,2852.28,0.74833,0.49976,1.06688,0.948,0.98361,0.9903,0.95991,0.26713,0.24432,0.80182,0.008416,0.008416,0.008416
50,2910.46,0.74758,0.48492,1.0662,0.95833,0.9695,0.98844,0.96067,0.27383,0.24556,0.80594,0.008383,0.008383,0.008383
51,2974.72,0.74794,0.50465,1.07212,0.97301,0.96253,0.99116,0.96183,0.26595,0.23356,0.80218,0.00835,0.00835,0.00835
52,3037.61,0.7526,0.49824,1.06786,0.95602,0.97424,0.98775,0.95859,0.2617,0.24274,0.79846,0.008317,0.008317,0.008317
