epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,717.067,0.99651,0.55257,1.12128,0.95571,1,0.995,0.80057,0.75483,0.4247,0.96506,0.005545,0.005545,0.005545
47,732.725,0.97955,0.54342,1.11416,0.97983,1,0.995,0.87546,0.71842,0.41461,0.9465,0.005446,0.005446,0.005446
48,748.411,0.97145,0.54724,1.10431,0.98625,1,0.995,0.83709,0.72846,0.40868,0.94496,0.005347,0.005347,0.005347
49,764.071,0.94206,0.52403,1.09603,0.98463,1,0.995,0.85012,0.71947,0.36436,0.95348,0.005248,0.005248,0.005248
50,779.67,0.96557,0.54076,1.09733,0.98571,1,0.995,0.85563,0.68769,0.39435,0.93876,0.005149,0.005149,0.005149
51,795.382,0.95421,0.53421,1.10067,0.98291,1,0.995,0.84984,0.73597,0.41867,0.93007,0.00505,0.00505,0.00505
52,811.085,0.95129,0.53843,1.0944,0.99209,1,0.995,0.85189,0.71144,0.39634,0.93377,0.004951,0.004951,0.004951
53,826.668,0.94666,0.52928,1.09561,0.98799,1,0.995,0.82448,0.78975,0.40372,0.94251,0.004852,0.004852,0.004852
54,842.273,0.9518,0.5225,1.10114,0.98644,1,0.995,0.82707,0.73332,0.36547,0.94521,0.004753,0.004753,0.004753
55,857.917,0.93021,0.52106,1.10304,0.98771,1,0.995,0.84927,0.69904,0.39226,0.92293,0.004654,0.004654,0.004654
56,873.637,0.94358,0.51789,1.09349,0.9866,1,0.995,0.84534,0.73509,0.38736,0.93053,0.004555,0.004555,0.004555
57,889.106,0.92119,0.50333,1.08661,0.98717,1,0.995,0.86156,0.69954,0.38614,0.92847,0.004456,0.004456,0.004456
58,904.749,0.9438,0.51589,1.08046,0.98578,1,0.995,0.82209,0.79085,0.38886,0.94513,0.004357,0.004357,0.004357
59,920.349,0.93187,0.50253,1.0965,0.98569,1,0.995,0.83445,0.7372,0.355,0.94053,0.004258,0.004258,0.004258
60,935.895,0.92259,0.4995,1.08425,0.98272,1,0.995,0.79087,0.79182,0.41326,0.93959,0.004159,0.004159,0.004159
61,951.469,0.9067,0.49232,1.06987,0.98142,1,0.995,0.80161,0.80605,0.38563,0.95373,0.00406,0.00406,0.00406
62,967.075,0.90602,0.49145,1.0694,0.9823,1,0.995,0.82401,0.75241,0.38987,0.94005,0.003961,0.003961,0.003961
